lat,lng,pop,uap,uap_c,nuc,mag,coastal,uso,layers,nat_rad_dist_km,anc,mag_gradient,uap_corrected,uso_corrected,has_incident_binary,is_high_mag,is_high_nuc
-84.5,-104.5,6.561681172081559e-08,0.0,6.561681172081558e-07,0.0,0.0,0.0003517391135324,0.0,0,4375.20514104728,0.0,0.0,0.0,0.0,0,0,0
-84.5,-103.5,8.468123506614474e-08,0.0,8.468123506614474e-07,0.0,0.0,0.0003489601782778,0.0,0,4369.080491838145,0.0,0.0,0.0,0.0,0,0,0
-84.5,-102.5,1.0880114733526517e-07,0.0,1.0880114733526516e-06,0.0,0.0,0.0003460128947221,0.0,0,4363.123156188638,0.0,0.0,0.0,0.0,0,0,0
-84.5,-101.5,1.3917238743552406e-07,0.0,1.3917238743552405e-06,0.0,0.0,0.0003429025125366,0.0,0,4357.335521710419,0.0,0.0,0.0,0.0,0,0,0
-84.5,-100.5,1.7723327404599497e-07,0.0,1.7723327404599494e-06,0.0,0.0,0.0003396345224096,0.0,0,4351.71991721836,0.0,0.0,0.0,0.0,0,0,0
-84.5,-99.5,2.247032974821336e-07,0.0,2.247032974821336e-06,0.0,0.0,0.0003362146382163,0.0,0,4346.278611051651,0.0,0.0,0.0,0.0,0,0,0
-84.5,-98.5,2.836254354011484e-07,0.0,2.836254354011484e-06,0.0,0.0,0.000332648778692,0.0,0,4341.013809418293,0.0,0.0,0.0,0.0,0,0,0
-84.5,-97.5,3.564118109882338e-07,0.0,3.564118109882338e-06,0.0,0.0,0.0003289430487,0.0,0,4335.927654765737,0.0,0.0,0.0,0.0,0,0,0
-84.5,-96.5,4.458922195120065e-07,0.0,4.458922195120064e-06,0.0,0.0,0.0003251037201816,0.0,0,4331.022224180327,0.0,0.0,0.0,0.0,0,0,0
-84.5,-95.5,5.553648238254867e-07,0.0,5.553648238254868e-06,0.0,0.0,0.0003211372128807,0.0,0,4326.299527818297,0.0,0.0,0.0,0.0,0,0,0
-84.5,-94.5,6.886480630038995e-07,0.0,6.886480630038994e-06,0.0,0.0,0.0003170500749321,0.0,0,4321.761507371032,0.0,0.0,0.0,0.0,0,0,0
-84.5,-93.5,8.501325342702661e-07,0.0,8.50132534270266e-06,0.0,0.0,0.0003128489633995,0.0,0,4317.410034567276,0.0,0.0,0.0,0.0,0,0,0
